number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high
0,5-8,4-7,1-2,5-7,7-11,6-9,5,8,4,7,1,2,5,7,7,11,6,9
1,5-7,5-7,1-2,4-6,6-10,6-9,5,7,5,7,1,2,4,6,6,10,6,9
2,3-5,4-7,1-2,4-6,6-9,5-8,3,5,4,7,1,2,4,6,6,9,5,8
3,4-6,4-6,1-2,4-5,5-8,5-8,4,6,4,6,1,2,4,5,5,8,5,8
4,4-6,4-6,1-2,3-5,5-7,8-12,4,6,4,6,1,2,3,5,5,7,8,12
5,4-6,4-6,1-2,3-5,4-6,8-12,4,6,4,6,1,2,3,5,4,6,8,12
6,4-6,5-8,1-2,3-5,4-6,7-11,4,6,5,8,1,2,3,5,4,6,7,11
7,4-7,4-7,1-2,3-5,3-5,7-11,4,7,4,7,1,2,3,5,3,5,7,11
8,4-6,4-7,1-2,3-5,3-5,6-10,4,6,4,7,1,2,3,5,3,5,6,10
9,4-6,4-6,2-3,3-4,3-5,6-9,4,6,4,6,2,3,3,4,3,5,6,9
10,4-6,4-6,1-2,3-4,3-5,6-9,4,6,4,6,1,2,3,4,3,5,6,9
11,3-5,4-6,1-2,3-4,3-5,6-9,3,5,4,6,1,2,3,4,3,5,6,9
12,3-5,4-6,1,3-4,3-4,5-9,3,5,4,6,1,,3,4,3,4,5,9
13,3-5,3-5,1,2-4,3-4,5-8,3,5,3,5,1,,2,4,3,4,5,8
14,3-5,3-5,1,2-4,3-4,5-7,3,5,3,5,1,,2,4,3,4,5,7
15,3-4,3-5,1,2-4,3-4,4-7,3,4,3,5,1,,2,4,3,4,4,7
16,3-4,3-4,1,2-3,3-4,4-6,3,4,3,4,1,,2,3,3,4,4,6
17,2-4,3-4,1,2-3,3-4,3-5,2,4,3,4,1,,2,3,3,4,3,5
18,2-4,3-4,1,2-3,2-4,3-5,2,4,3,4,1,,2,3,2,4,3,5
19,3-4,3-4,1,3-4,2-3,4-6,3,4,3,4,1,,3,4,2,3,4,6
20,4-7,4-7,1,4-6,2-3,4-6,4,7,4,7,1,,4,6,2,3,4,6
21,5-8,5-7,1-2,5-7,3-5,4-5,5,8,5,7,1,2,5,7,3,5,4,5
22,5-8,5-8,1-2,5-8,4-6,5-8,5,8,5,8,1,2,5,8,4,6,5,8
23,5-8,5-8,1-2,5-8,4-7,8-12,5,8,5,8,1,2,5,8,4,7,8,12
24,5-8,5-8,1-2,5-8,9-15,10-16,5,8,5,8,1,2,5,8,9,15,10,16
25,5-9,6-9,1-2,5-8,9-15,10-16,5,9,6,9,1,2,5,8,9,15,10,16
26,6-9,5-9,2-3,5-8,9-14,9-14,6,9,5,9,2,3,5,8,9,14,9,14
27,7-10,7-11,2-3,5-8,9-14,9-13,7,10,7,11,2,3,5,8,9,14,9,13
28,7-10,7-10,2-3,5-8,9-14,8-12,7,10,7,10,2,3,5,8,9,14,8,12
29,6-10,6-10,2-3,4-7,8-13,8-12,6,10,6,10,2,3,4,7,8,13,8,12
30,6-9,6-9,2-3,4-6,6-10,7-11,6,9,6,9,2,3,4,6,6,10,7,11
31,5-8,5-8,2,4-7,6-10,7-11,5,8,5,8,2,,4,7,6,10,7,11
32,5-8,5-8,2,4-7,6-10,7-11,5,8,5,8,2,,4,7,6,10,7,11
33,5-8,5-8,1-2,4-7,4-7,7-11,5,8,5,8,1,2,4,7,4,7,7,11
34,5-7,5-8,1-2,4-6,4-7,7-11,5,7,5,8,1,2,4,6,4,7,7,11
35,4-7,5-7,1-2,4-6,4-6,7-10,4,7,5,7,1,2,4,6,4,6,7,10
36,4-6,4-7,1-2,4-6,5-7,6-10,4,6,4,7,1,2,4,6,5,7,6,10
