,Rest Bay,Croyde,Minehead,Llangennith,Kimmeridge,Sennen
0,4-6ft,4-6ft,1-2ft,3-5ft,4-6ft,6-10ft
1,3-5ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft
2,4-6ft,4-6ft,1-2ft,3-4ft,3-5ft,6-9ft
3,3-5ft,4-6ft,1-2ft,3-4ft,3-5ft,6-9ft
4,3-5ft,4-6ft,1ft,3-4ft,3-5ft,5-9ft
5,3-5ft,3-5ft,1ft,3-4ft,3-5ft,5-8ft
6,3-5ft,3-5ft,1ft,3-4ft,3-5ft,5-7ft
7,3-5ft,3-5ft,1ft,2-4ft,3-4ft,4-7ft
8,3-4ft,3-4ft,1ft,2-3ft,3-4ft,4-6ft
9,3-4ft,2-3ft,1ft,2-3ft,3-4ft,3-5ft
10,3-4ft,4-6ft,1ft,3-5ft,2-4ft,4-6ft
11,5-7ft,5-7ft,1-2ft,5-7ft,3-5ft,4-6ft
12,6-9ft,5-8ft,1-2ft,5-8ft,5-7ft,4-7ft
13,6-9ft,5-8ft,1-2ft,6-9ft,5-8ft,4-7ft
14,6-9ft,5-8ft,1-2ft,6-9ft,5-9ft,5-7ft
15,6-9ft,5-8ft,1-2ft,6-9ft,6-9ft,8-13ft
16,6-9ft,6-9ft,1-2ft,6-9ft,6-9ft,9-14ft
17,6-10ft,6-9ft,2ft,6-9ft,10-16ft,10-14ft
18,6-9ft,6-9ft,2-3ft,6-9ft,9-14ft,9-15ft
19,6-9ft,7-12ft,2-3ft,5-8ft,9-14ft,9-14ft
20,7-11ft,7-11ft,2-3ft,5-8ft,9-14ft,8-13ft
21,7-10ft,7-11ft,2-3ft,5-8ft,9-13ft,8-12ft
22,7-11ft,7-11ft,2-3ft,5-9ft,8-13ft,7-12ft
23,6-9ft,6-9ft,2-3ft,4-7ft,8-12ft,7-11ft
24,5-9ft,5-9ft,2ft,4-7ft,7-10ft,7-11ft
25,5-8ft,5-8ft,2ft,4-7ft,6-10ft,7-11ft
26,5-8ft,5-8ft,1-2ft,4-6ft,6-9ft,7-11ft
27,5-7ft,5-8ft,1-2ft,4-6ft,5-8ft,7-10ft
28,5-7ft,5-7ft,1-2ft,3-5ft,4-7ft,6-10ft
29,5-7ft,5-7ft,1-2ft,3-5ft,4-6ft,6-10ft
30,4-7ft,4-7ft,1-2ft,3-5ft,4-6ft,6-9ft
31,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft
32,4-6ft,4-6ft,1-2ft,3-5ft,4-6ft,5-8ft
33,4-6ft,4-6ft,1ft,3-5ft,3-5ft,5-8ft
34,4-6ft,3-5ft,1ft,3-4ft,3-5ft,5-7ft
35,3-5ft,3-5ft,1ft,3-4ft,3-5ft,4-7ft
36,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-7ft
37,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-6ft
38,3-5ft,3-5ft,1ft,3-4ft,3-4ft,4-6ft
39,3-5ft,3-4ft,1ft,3-4ft,2-4ft,4-6ft
40,3-5ft,3-4ft,1ft,3-4ft,2-4ft,6-9ft
41,3-5ft,3-5ft,1ft,3-4ft,2-4ft,7-11ft
42,5-7ft,5-8ft,1-2ft,4-6ft,2-3ft,7-11ft
43,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft
44,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft
45,5-7ft,5-8ft,2ft,4-6ft,4-6ft,7-10ft
46,5-7ft,5-7ft,1-2ft,4-6ft,4-6ft,6-10ft
47,4-7ft,5-7ft,1-2ft,4-6ft,4-6ft,6-10ft
48,4-7ft,4-7ft,1-2ft,3-5ft,4-6ft,6-9ft
49,4-6ft,4-7ft,1-2ft,3-5ft,3-5ft,6-9ft
50,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,6-9ft
51,4-6ft,4-6ft,1-2ft,3-5ft,3-5ft,5-8ft
52,4-5ft,4-6ft,1-2ft,3-4ft,3-5ft,5-8ft
53,3-5ft,4-6ft,1-2ft,3-4ft,3-4ft,5-8ft
54,3-5ft,3-5ft,1-2ft,2-4ft,3-4ft,5-7ft
55,3-5ft,3-5ft,1-2ft,2-4ft,2-4ft,4-7ft
