number,restbay,croyde,minehead,llangennith,kimmeridge,sennen,restbay_low,restbay_high,croyde_low,croyde_high,minehead_low,minehead_high,llangennith_low,llangennith_high,kimmeridge_low,kimmeridge_high,sennen_low,sennen_high
0,4-6,4-6,1-2,3-5,4-6,6-10,4,6,4,6,1,2,3,5,4,6,6,10
1,3-5,4-6,1-2,3-5,3-5,6-9,3,5,4,6,1,2,3,5,3,5,6,9
2,4-6,4-6,1-2,3-4,3-5,6-9,4,6,4,6,1,2,3,4,3,5,6,9
3,3-5,4-6,1-2,3-4,3-5,6-9,3,5,4,6,1,2,3,4,3,5,6,9
4,3-5,4-6,1,3-4,3-5,5-9,3,5,4,6,1,,3,4,3,5,5,9
5,3-5,3-5,1,3-4,3-5,5-8,3,5,3,5,1,,3,4,3,5,5,8
6,3-5,3-5,1,3-4,3-5,5-7,3,5,3,5,1,,3,4,3,5,5,7
7,3-5,3-5,1,2-4,3-4,4-7,3,5,3,5,1,,2,4,3,4,4,7
8,3-4,3-4,1,2-3,3-4,4-6,3,4,3,4,1,,2,3,3,4,4,6
9,3-4,2-3,1,2-3,3-4,3-5,3,4,2,3,1,,2,3,3,4,3,5
10,3-4,4-6,1,3-5,2-4,4-6,3,4,4,6,1,,3,5,2,4,4,6
11,5-7,5-7,1-2,5-7,3-5,4-6,5,7,5,7,1,2,5,7,3,5,4,6
12,6-9,5-8,1-2,5-8,5-7,4-7,6,9,5,8,1,2,5,8,5,7,4,7
13,6-9,5-8,1-2,6-9,5-8,4-7,6,9,5,8,1,2,6,9,5,8,4,7
14,6-9,5-8,1-2,6-9,5-9,5-7,6,9,5,8,1,2,6,9,5,9,5,7
15,6-9,5-8,1-2,6-9,6-9,8-13,6,9,5,8,1,2,6,9,6,9,8,13
16,6-9,6-9,1-2,6-9,6-9,9-14,6,9,6,9,1,2,6,9,6,9,9,14
17,6-10,6-9,2,6-9,10-16,10-14,6,10,6,9,2,,6,9,10,16,10,14
18,6-9,6-9,2-3,6-9,9-14,9-15,6,9,6,9,2,3,6,9,9,14,9,15
19,6-9,7-12,2-3,5-8,9-14,9-14,6,9,7,12,2,3,5,8,9,14,9,14
